,tweets,time
145,This is interesting. To my understanding Fire &amp; Blood is a maester’s recounting of the Targaryen history. But the show is supposedly the objective truth of what happened. #HOTD #HouseOfTheDragonHBO https://t.co/jSE20UkUvH,2022-09-22 04:05:42+00:00
146,There’s a new knight in town #HOTD #HouseOfDragon https://t.co/moMJsKIYjT,2022-09-22 04:04:18+00:00
147,"Something that bugs me about #HOTD is the color/lighting. It's the only show I watch where the edge shadows clip to harsh black on my TV (65"" Visio). It's like a vignette filter gone mad.
Anyone else noticing this?",2022-09-22 04:02:47+00:00
148,"هل معقوله حياتي خايسه كذا بدون كورة ومباريات ؟ ما عندي اهتمامات لاي شي ثاني ؟ حتى #HOTD بعد الحلقه بيومين يروح اهتمامي. 

تويتركم بدون كورة زلابة مو بس تويتر الا الحياه بشكل عام 😞",2022-09-22 03:54:10+00:00
149,None in the list. It would be Old Valyria for me. #hotd #HouseOfTheDragon #HouseTargaryen https://t.co/a6vCPJQw5G https://t.co/MSaNuh9EI3,2022-09-22 03:52:21+00:00
150,MORE DRAGONSKIN CLOTHES @HouseofDragon #hotd #fireandblood #housetargaryen,2022-09-22 03:52:01+00:00
151,"Same Energy 
#HouseOfTheDragon #HOTD 
#GameOfThrones https://t.co/90SbVGKWks",2022-09-22 03:50:34+00:00
152,I'm obsessed with #HOTD right now.,2022-09-22 03:50:21+00:00
153,"I will refrain from having a favorite #HotD characters cause who knows they might die… 

But I really love Rhaenyra 😭🥹",2022-09-22 03:50:15+00:00
154,#hotd https://t.co/PzFj8dROkG,2022-09-22 03:49:19+00:00
155,Nothing like a Strong FU #HOTD #HouseOfTheDragon https://t.co/O2Zakz1Mhi,2022-09-22 03:49:17+00:00
156,I think I downloaded the wrong episode of #Hotd https://t.co/Ne3oTpiyx6,2022-09-22 03:47:23+00:00
157,Ahhh I cannot wait for #HotD episode 6!!! I wanna see Daemon with his children https://t.co/WFat0bHK0a,2022-09-22 03:46:02+00:00
158,They really had to give us another Jon Snow looking mf to keep us interested #hotd #DragonsYall https://t.co/Wpaqt2j9uR,2022-09-22 03:45:58+00:00
159,#daemontargaryen didnt stand for #alicent bc he doesnt think she has more power than him #hotd #fireandblood,2022-09-22 03:43:43+00:00
160,"It’s simple sword practice 
But guilty Ser Criston thinks they know about him and #Rhaenyra 
So he’s a mess 
#HOTD #HouseOfTheDragon https://t.co/B10NGFv0tD",2022-09-22 03:41:57+00:00
161,"Noh! 🤒
#hotd #HouseOfTheDragon https://t.co/Rl7DEnaJf7",2022-09-22 03:41:33+00:00
162,Soooo a lot happened in ep 5 #HOTD,2022-09-22 03:40:37+00:00
163,海蓮娜的定位是 GOT 裡的彌賽拉嗎 #HOTD,2022-09-22 03:38:27+00:00
164,"I'm a #HarwinStrong girl 🛐
#HOTD   
#HouseOfTheDragonEp5
#HouseOfTheDragonHBO https://t.co/1QgekOJMeT",2022-09-22 03:38:13+00:00
165,When it’s raining #hotd https://t.co/X19eboOW9L,2022-09-22 03:37:27+00:00
166,sunspear is like kings landing in a way👀 #hotd,2022-09-22 03:36:48+00:00
167,i can only imagine princess #rhaenys old ass on the dragon towards the end of the dance 🤣🤣. her death will be solid tho #hotd,2022-09-22 03:36:19+00:00
168,Viserys questioning his legacy just made me want to yell about public works. You know why people remember Jaehaerys &amp; Alysanne with such love? Roads! Clean drinking water! A new castle on the Wall! Is Viserys doing ANY of that stuff? #HouseOfTheDragon  #HotD https://t.co/miGNnBpO2q,2022-09-22 03:35:16+00:00
169,No offense to ⁦@m_giacchino⁩ but this is how you next level #hotd and that wedding scene.  https://t.co/IcpEaAGrev,2022-09-22 03:34:23+00:00
170,ive been hearing #hotd will go on pass the dance. blackfyre rebellion could be on the rise w/ that easter egg frm eps 4 #housetargaryen,2022-09-22 03:33:31+00:00
171,It’s that day of the week again #HouseOfTheDragon #HOTD https://t.co/CxpMffGQWO,2022-09-22 03:31:44+00:00
